SpocWebEntityId	Version	ChangeTime	IsDeleted	IsPrivate	StarClass	Mass	Radius	Temperature	ChangeUserId
28186	1	2011-06-25	0	0	W	0	0	0	20
28187	1	2011-06-25	0	0	O	60	0	50000	20
28188	1	2011-06-25	0	0	B	18	6	30000	20
28189	1	2011-06-25	0	0	A	3.2	2	9750	20
28190	1	2011-06-25	0	0	F	1.7	1.5	7350	20
28191	1	2011-06-25	0	0	G	1.1	1.2	5900	20
28192	1	2011-06-25	0	0	K	0.8	0.7	4850	20
28193	1	2011-06-25	0	0	M	0.3	0.4	3350	20
28194	1	2011-06-25	0	0	L	0.07	0	2000	20
28195	1	2011-06-25	0	0	T	0.013	0	1300	20
28196	1	2011-06-25	0	0	R	0.25	0	2900	20
28185	1	2011-06-25	0	0	S	1700	0	1700	20
28197	1	2011-06-25	0	0	N	2200	0	2200	20
