SpocWebEntityId	Version	ChangeTime	IsDeleted	IsPrivate	LatinName	Genitive	German	ChangeUserId
28083	1	2011-06-20	0	0	Andromeda	Andromedae	Andromeda	20
28084	1	2011-06-20	0	0	Antlia	Antliae	Luftpumpe	20
28085	1	2011-06-20	0	0	Apus	Apodis	Paradiesvogel	20
28086	1	2011-06-20	0	0	Aquarius	Aquarii	Wassermann	20
28087	1	2011-06-20	0	0	Aquila	Aquilae	Adler	20
28088	1	2011-06-20	0	0	Ara	Arae	Altar	20
28089	1	2011-06-20	0	0	Aries	Arietis	Widder	20
28090	1	2011-06-20	0	0	Auriga	Aurigae	Fuhrmann	20
28091	1	2011-06-20	0	0	Bootes	Bootis	Baerenhueter	20
28092	1	2011-06-20	0	0	Caelum	Caeli	Grabstichel	20
28093	1	2011-06-20	0	0	Camelopardalis	Camelopardalis	Giraffe	20
28094	1	2011-06-20	0	0	Cancer	Cancri	Krebs	20
28095	1	2011-06-20	0	0	Canes Venatici	Canum Venaticorum	Jagdhunde	20
28096	1	2011-06-20	0	0	Canis Major	Canis Majoris	Grosser Hund	20
28097	1	2011-06-20	0	0	Canis Minor	Canis Minoris	Kleiner Hund	20
28098	1	2011-06-20	0	0	Capricornus	Capricorni	Steinbock	20
28099	1	2011-06-20	0	0	Carina	Carinae	Schiffskiel	20
28100	1	2011-06-20	0	0	Cassiopeia	Cassiopeiae	Kassiopeia	20
28101	1	2011-06-20	0	0	Centaurus	Centauri	Zentaur	20
28102	1	2011-06-20	0	0	Cepheus	Cephei	Kepheus	20
28103	1	2011-06-20	0	0	Cetus	Ceti	Walfisch	20
28104	1	2011-06-20	0	0	Chamaeleon	Chamaeleontis	Chamaeleon	20
28105	1	2011-06-20	0	0	Circinus	Circini	Zirkel	20
28106	1	2011-06-20	0	0	Columba	Columbae	Taube	20
28107	1	2011-06-20	0	0	Coma Berenices	Comae Berenices	Haar der Berenike	20
28108	1	2011-06-20	0	0	Corona Australis	Coronae Australis	Suedliche Krone	20
28109	1	2011-06-20	0	0	Corona Borealis	Coronae Borealis	Noerdliche Krone	20
28110	1	2011-06-20	0	0	Corvus	Corvi	Rabe	20
28111	1	2011-06-20	0	0	Crater	Crateris	Becher	20
28112	1	2011-06-20	0	0	Crux	Crucis	Kreuz des Suedens	20
28113	1	2011-06-20	0	0	Cygnus	Cygni	Schwan	20
28114	1	2011-06-20	0	0	Delphinus	Delphini	Delphin	20
28115	1	2011-06-20	0	0	Dorado	Doradus	Schwertfisch	20
28116	1	2011-06-20	0	0	Draco	Draconis	Drache	20
28117	1	2011-06-20	0	0	Equuleus	Equulei	Fuellen	20
28118	1	2011-06-20	0	0	Eridanus	Eridani	Eridanus	20
28119	1	2011-06-20	0	0	Fornax	Fornacis	Chemischer Ofen	20
28120	1	2011-06-20	0	0	Gemini	Geminorum	Zwillinge	20
28121	1	2011-06-20	0	0	Grus	Gruis	Kranich	20
28122	1	2011-06-20	0	0	Hercules	Herculis	Herkules	20
28123	1	2011-06-20	0	0	Horologium	Horologii	Pendeluhr	20
28124	1	2011-06-20	0	0	Hydra	Hydrae	Wasserschlange	20
28125	1	2011-06-20	0	0	Hydrus	Hydri	Kl. Wasserschlange	20
28126	1	2011-06-20	0	0	Indus	Indi	Inder	20
28127	1	2011-06-20	0	0	Lacerta	Lacertae	Eidechse	20
28128	1	2011-06-20	0	0	Leo	Leonis	Loewe	20
28129	1	2011-06-20	0	0	Minor	Leonis Minoris	Kl. Loewe	20
28130	1	2011-06-20	0	0	Lepus	Leporis	Hase	20
28131	1	2011-06-20	0	0	Libra	Librae	Waage	20
28132	1	2011-06-20	0	0	Lupus	Lupi	Wolf	20
28133	1	2011-06-20	0	0	Lynx	Lyncis	Luchs	20
28134	1	2011-06-20	0	0	Lyra	Lyrae	Leier	20
28135	1	2011-06-20	0	0	Mensa	Mensae	Tafelberg	20
28136	1	2011-06-20	0	0	Microscopium	Microscopii	Mikroskop	20
28137	1	2011-06-20	0	0	Monoceros	Monocerotis	Einhorn	20
28138	1	2011-06-20	0	0	Musca	Muscae	Fliege	20
28139	1	2011-06-20	0	0	Norma	Normae	Winkelmass	20
28140	1	2011-06-20	0	0	Octans	Octantis	Oktant	20
28141	1	2011-06-20	0	0	Ophiuchus	Ophiuchi	Schlangentraeger	20
28142	1	2011-06-20	0	0	Orion	Orionis	Orion	20
28143	1	2011-06-20	0	0	Pavo	Pavonis	Pfau	20
28144	1	2011-06-20	0	0	Pegasus	Pegasi	Pegasus	20
28145	1	2011-06-20	0	0	Perseus	Persei	Perseus	20
28146	1	2011-06-20	0	0	Phoenix	Phoenicis	Phoenix	20
28147	1	2011-06-20	0	0	Pictor	Pictoris	Maler	20
28148	1	2011-06-20	0	0	Pisces	Piscium	Fische	20
28149	1	2011-06-20	0	0	Piscis Australis	Piscis Australis	Suedlicher Fisch	20
28150	1	2011-06-20	0	0	Puppis	Puppis	Achterschiff	20
28151	1	2011-06-20	0	0	Pyxis	Pyxidis	Schiffskompass	20
28152	1	2011-06-20	0	0	Reticulum	Reticuli	Netz	20
28153	1	2011-06-20	0	0	Sagitta	Sagittae	Pfeil	20
28154	1	2011-06-20	0	0	Sagittarius	Sagittarii	Schuetze	20
28155	1	2011-06-20	0	0	Scorpius	Scorpii	Skorpion	20
28156	1	2011-06-20	0	0	Sculptor	Sculptoris	Bildhauer	20
28157	1	2011-06-20	0	0	Scutum	Scuti	Schild	20
28158	1	2011-06-20	0	0	Serpens	Serpentis	Schlange	20
28159	1	2011-06-20	0	0	Sextans	Sextantis	Sextant	20
28160	1	2011-06-20	0	0	Taurus	Tauri	Stier	20
28161	1	2011-06-20	0	0	Telescopium	Telescopii	Teleskop	20
28162	1	2011-06-20	0	0	Triangulum	Trianguli	Dreieck	20
28163	1	2011-06-20	0	0	Triangulum Australis	Trianguli Australis	Suedliches Dreieck	20
28164	1	2011-06-20	0	0	Tucana	Tucanae	Tukan	20
28165	1	2011-06-20	0	0	Ursa Major	Ursae Majoris	Grosser Baer	20
28166	1	2011-06-20	0	0	Ursa Minor	Ursae Minoris	Kleiner Baer	20
28167	1	2011-06-20	0	0	Vela	Velorum	Segel	20
28168	1	2011-06-20	0	0	Virgo	Virginis	Jungfrau	20
28169	1	2011-06-20	0	0	Volans	Volantis	Fliegender Fisch	20
28170	1	2011-06-20	0	0	Vulpecula	Vulpeculae	Fuechschen	20
