Code	Unit of Measure	Definition
A1	15 C Calorie	
AL	Access Line	
ACR	Acre	
26	Actual Ton	
AH	Additional Minute	
MD	Air Dry Metric Ton	
ASM	Alcoholic Strength By Mass	
ASU	Alcoholic Strength By Volume	
AP	Aluminium Pound Only	
AMP	Ampere	
AMH	Ampere Hour	A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere for one hour.
A2	Ampere Per Centimetre	
AE	Ampere Per Metre	
A3	Ampere Per Millimetre	
A4	Ampere Per Square Centimetre	
A41	Ampere Per Square Metre	
A6	Ampere Per Square Metre Kelvin Squared	
A7	Ampere Per Square Millimetre	
A8	Ampere Second	
A5	Ampere Square Metre	
A10	Ampere Square Metre Per Joule Second	
73	Ampere Tum Per Centimetre	
AM	Ampoule	
A11	Angstrom	A unit of length equal to one hundred-millionth of a centimetre, 10–10 metre, used mainly to express wavelengths and interatomic distances.
AXU	Anti XA Unit	A unit of measure for blood potency. Units for the anti XA activity which is a measure to the anti coagulating effect at low molecular heparins.
AQ	Anti-Hemophilic Factor (Ahf) Unit	
ARE	Are	
AY	Assembly	
AS	Assortment	A unit of count defining the number of assortments (assortment: set of items grouped in a mixed collection).
A12	Astronomical Unit	
D43	Atomic Mass Units (AMU)	
A13	Attojoule	
AI	Average Minute Per Call	
BG	Bag	
BL	Bale	
AA	Ball	
D92	Band	
BR	Bar	The bar is widely used in descriptions of pressure; 1 bar = 100 kilopascals 0.987 atmospheres.
BAR	Bar (unit of pressure)	The bar is widely used in descriptions of pressure; 1 bar = 100 kilopascals 0.987 atmospheres.
NB	Barge	
A14	Barn	
A15	Barn Per Electron Volt	
A16	Barn Per Steradian Electron Volt,	
A17	Barn Per Sterdian	
B1	Barrel (Us) Per Day	
5A	Barrel Per Minute	
BLL	Barrel US	There are varying standards for barrel for some specific commodities, including 31 gal for beer, 40 gal for whiskey or kerosene, and 42 gal for petroleum. The general standard for liquids is 31.5 gal or half a hogshead; the general standard for dry contents is 7,056 Cubic Inches.
B4	Barrel, Imperial	
BB	Base box	A unit of area of 112 sheets of tin mil products (tin plate, tin free steel or black plate) 14 by 20 inches, or 31,360 square inches.
BW	Base Weight	
BK	Basket	
5B	Batch	
B9	Batt	
B3	Batting Pound	
D79	Beam	
BPM	Beats Per Minute	
BQL	Becquerel	The SI derived unit of radioactivity. One Bq is defined as the activity of a quantity of radioactive material in which one nucleus decays per second. SI uses the becquerel rather than the second for the unit of activity measure to avoid dangerous mistakes: a measurement in becquerels is proportional to activity, and thus a more dangerous source of radiation gives a higher reading. A measurement in seconds is inversely proportional.
A18	Becquerel Per Kilogram	
A19	Becquerel Per Metre Cubed	
E2	Belt	
B5	Billet	
2W	Bin	
B10	Bit per second	In telecommunications and computing, bitrate (sometimes written bit rate, data rate or as a variable R or fb) is the number of bits that are conveyed or processed per unit of time.The bit rate is quantified using the bits per second (bit/s or bps) unit.
D64	Block	
BD	Board	
BFT	Board Foot	A specialized unit of measure for the volume of rough lumber (before drying and planing with no adjustments) or planed/surfaced lumber. It is the volume of a one-foot length of a board one foot wide and one inch thick. Some countries utilize the synonym super foot or superficial foot.
4A	Bobbin	
BT	Bolt	
D63	Book	A unit of count defining the number of books (book: set of items bound together or written document of a material whole).
BO	Bottle	
BX	Box	
BHP	Brake Horse Power	
BTU	British thermal unit	A traditional unit of energy. It is approximately the amount of energy needed to heat one pound of water one degree Fahrenheit. One Btu is equal to about 1.06 kilojoules. It is used in the power, steam generation, heating and air conditioning industries.
2I	British Thermal Unit Per Hour	
A23	British Thermal Unit Per Hour Square Foot Degree Rankin	
AZ	British Thermal Unit Per Pound	
A21	British Thermal Unit Per Pound Degree Rankin	
A22	British Thermal Unit Per Second Foot Degree Rankin	
A20	British Thermal Unit Per Second Square Foot Degree Rankin	
BH	Brush	
B0	Btu Per Cubic Foot	
BJ	Bucket	
VQ	Bulk	
48	Bulk Car Load	
AB	Bulk Pack	
B6	Bun	
BE	Bundle	
B2	Bunk	
BUI	Bushel (UK)	A bushel is an imperial and U.S. customary unit of dry volume, equivalent in each of these systems to 4 pecks or 8 gallons. It is used for volumes of dry commodities (not liquids), most often in agriculture
BUA	Bushel (US)	A bushel is an imperial and U.S. customary unit of dry volume, equivalent in each of these systems to 4 pecks or 8 gallons. It is used for volumes of dry commodities (not liquids), most often in agriculture
AD	Byte	
1D	Caboose Count	
1H	Caboose Mile	
KA	Cake	
C0	Call	
D70	Calorie	A calorie is 1/100 of the amount of energy required to warm one gram of air-free water from 0 °C to 100 °C at standard atmospheric pressure; this is about 4.190 J. Its use is archaic, having been replaced by the SI unit of energy, the joule. However, in many countries it remains in common use as a unit of food energy. In the context of nutrition, and especially food labelling, the calorie is approximately equal to 4.1868 joules (J), and energy values are normally quoted in kilojoules (kJ) and kilocalories (kcal). This code is being deprecated. Use code E14 Kilocalorie to express food calories.
92	Calorie - Calorie Per Cubic Centimetre	
93	Calorie Per Gram	
CA	Can	
CDL	Candela	
