country	year
[[Australia]]	1971
[[Austria]]	1961
[[Belgium]]	1961
[[Canada]]	1961
[[Chile]]	2010
[[Colombia]]	2020
[[Costa_Rica]]	2021
[[Czech_Republic]]	1995
[[Denmark]]	1961
[[Estonia]]	2010
[[Finland]]	1969
[[France]]	1961
[[Germany]]	1961
[[Greece]]	1961
[[Hungary]]	1996
[[Iceland]]	1961
[[Ireland]]	1961
[[Israel]]	2010
[[Italy]]	1962
[[Japan]]	1964
[[Korea~South]]	1996
[[Latvia]]	2016
[[Lithuania]]	2018
[[Luxembourg]]	1961
[[Mexico]]	1994
[[Netherlands]]	1961
[[New_Zealand]]	1973
[[Norway]]	1961
[[Poland]]	1996
[[Portugal]]	1961
[[Slovakia]]	2000
[[Slovenia]]	2010
[[Spain]]	1961
[[Sweden]]	1961
[[Switzerland]]	1961
[[Turkey]]	1961
[[United_Kingdom]]	1961
[[USA]]	1961
P:[[Brazil]]	N/A
P:[[China]]	N/A
P:[[India]]	N/A
P:[[Indonesia]]	N/A
P:[[South_Africa]]	N/A
