country	year
[[Albania]]	1991
[[Andorra]]	1996
[[Armenia]]	1992
[[Austria]]	1975
[[Azerbaijan]]	1992
[[Belarus]]	1992
[[Belgium]]	1975
[[Bosnia_and_Herzegovina]]	1992
[[Bulgaria]]	1975
[[Canada]]	1975
[[Croatia]]	1992
[[Cyprus]]	1975
[[Czech_Republic]]	1993
[[Denmark]]	1975
[[Estonia]]	1991
[[Finland]]	1975
[[France]]	1975
[[Georgia.Europe]]	1992
[[Germany]]	1975
[[Greece]]	1975
[[Holy_See~Vatican_State]]	1975
[[Hungary]]	1975
[[Iceland]]	1975
[[Ireland]]	1975
[[Italy]]	1975
[[Kazakhstan]]	1992
[[Kyrgyzstan]]	1992
[[Latvia]]	1991
[[Liechtenstein]]	1975
[[Lithuania]]	1991
[[Luxembourg]]	1975
[[Malta]]	1975
[[Moldova]]	1992
[[Monaco]]	1975
[[Mongolia]]	2012
[[Montenegro]]	2006
[[Netherlands]]	1975
[[Macedonia~North]]	1995
[[Norway]]	1975
[[Poland]]	1975
[[Portugal]]	1975
[[Romania]]	1975
[[Russia]]	1975
[[San Marino]]	1975
[[Serbia]]	2000
[[Slovakia]]	1993
[[Slovenia]]	1992
[[Spain]]	1975
[[Sweden]]	1975
[[Switzerland]]	1975
[[Tajikistan]]	1992
[[Turkey]]	1975
[[Turkmenistan]]	1992
[[Ukraine]]	1992
[[United Kingdom]]	1975
[[USA]]	1975
[[Uzbekistan]]	1992
P[[Algeria]]	1994
P[[Egypt]]	1994
P[[Israel]]	1994
P[[Jordan]]	1998
P[[Morocco]]	1994
P[[Tunisia]]	1994
P[[Japan]]	1992
P[[Korea~South]]	2013
P[[Thailand]]	2000
P[[Afghanistan]]	2003
P[[Australia]]	2009
