Year	Date	Event	Significance
1100		Latin-translation of the great masters of [Arabic medicine](https://en.wikipedia.org/wiki/Arabic_medicine "Arabic medicine"): [Rhazes](https://en.wikipedia.org/wiki/Muhammad_ibn_Zakariya_al-Razi "Muhammad ibn Zakariya al-Razi"), [Ishaq Ibn Imran](https://en.wikipedia.org/wiki/Ishaq_Ibn_Imran "Ishaq Ibn Imran"), [Ibn Suleiman](https://en.wikipedia.org/wiki/Isaac_Israeli_ben_Solomon "Isaac Israeli ben Solomon"), and [Ibn al-Jazzar](https://en.wikipedia.org/wiki/Ibn_al-Jazzar "Ibn al-Jazzar").	Translated by [Constantine the African](https://en.wikipedia.org/wiki/Constantine_the_African "Constantine the African").
1102		[Kingdom of Croatia](https://en.wikipedia.org/wiki/Kingdom_of_Croatia_(medieval) "Kingdom of Croatia (medieval)") and [Kingdom of Hungary](https://en.wikipedia.org/wiki/Kingdom_of_Hungary "Kingdom of Hungary") formed a [personal union](https://en.wikipedia.org/wiki/Personal_union "Personal union") of two kingdoms united under the Hungarian king. The act of union was deal with [Pacta conventa](https://en.wikipedia.org/wiki/Pacta_conventa_(Croatia) "Pacta conventa (Croatia)"), by which institutions of separate Croatian statehood were maintained through the [Sabor](https://en.wikipedia.org/wiki/Sabor "Sabor") (an assembly of Croatian nobles) and the [ban](https://en.wikipedia.org/wiki/Ban_(title) "Ban (title)") (viceroy). In addition, the Croatian nobles retained their lands and titles.	Medieval [Hungary](https://en.wikipedia.org/wiki/Hungary "Hungary") and [Croatia](https://en.wikipedia.org/wiki/Croatia "Croatia") were (in terms of public international law) allied by means of [personal union](https://en.wikipedia.org/wiki/Personal_union "Personal union") until 1526. Although, [Hungarian-Croatian state](https://en.wikipedia.org/wiki/Croatia_in_personal_union_with_Hungary "Croatia in personal union with Hungary") existed until the beginning of the 20th century and the [Treaty of Trianon](https://en.wikipedia.org/wiki/Treaty_of_Trianon "Treaty of Trianon").
1102		[Synods of Westminster](https://en.wikipedia.org/wiki/Synods_of_Westminster "Synods of Westminster").	End of simony, [clerical marriages](https://en.wikipedia.org/wiki/Clerical_celibacy "Clerical celibacy"), slavery under [Anselm of Canterbury](https://en.wikipedia.org/wiki/Anselm_of_Canterbury "Anselm of Canterbury")
1106	28 September	[Henry I of England](https://en.wikipedia.org/wiki/Henry_I_of_England "Henry I of England") defeats his older brother [Robert Curthose](https://en.wikipedia.org/wiki/Robert_Curthose "Robert Curthose"), duke of [Normandy](https://en.wikipedia.org/wiki/Normandy "Normandy"), at the [Battle of Tinchebrai](https://en.wikipedia.org/wiki/Battle_of_Tinchebrai "Battle of Tinchebrai"), and imprisons him in [Devizes castle](https://en.wikipedia.org/wiki/Devizes_Castle "Devizes Castle"); [Edgar Atheling](https://en.wikipedia.org/wiki/Edgar_Atheling "Edgar Atheling") and [William Clito](https://en.wikipedia.org/wiki/William_Clito "William Clito") are also taken prisoner.	This victory made a later struggle between England and the rising [Capetian](https://en.wikipedia.org/wiki/House_of_Capet "House of Capet") power in France inevitable.
1107		Through the Compromise of 1107, suggested by [Adela](https://en.wikipedia.org/wiki/Adela_of_Normandy "Adela of Normandy"), the sister of [King Henry](https://en.wikipedia.org/wiki/Henry_I_of_England "Henry I of England"), the Investiture Struggle in England is ended.	This compromise removed one of the points of friction between the English monarchy and the Catholic Church.
1109		In the Battle of [Naklo](https://en.wikipedia.org/wiki/Nak%C5%82o_nad_Noteci%C4%85 "Nakło nad Notecią"), [Boleslaus III Wrymouth](https://en.wikipedia.org/wiki/Boleslaus_III_Wrymouth "Boleslaus III Wrymouth") defeats the [Pomeranians](https://en.wikipedia.org/wiki/Pomeranians_(Slavic_tribe) "Pomeranians (Slavic tribe)").	Polish access to the sea is re-established.
1109	24 August	In the [Battle of Hundsfeld](https://en.wikipedia.org/wiki/Battle_of_Hundsfeld "Battle of Hundsfeld"), [Boleslaus III Wrymouth](https://en.wikipedia.org/wiki/Boleslaus_III_Wrymouth "Boleslaus III Wrymouth") defeats Emperor [Henry V](https://en.wikipedia.org/wiki/Henry_V,_Holy_Roman_Emperor "Henry V, Holy Roman Emperor").	German expansion to the centre of Europe is stopped.
1116		The Byzantine army defeats the Turks at [Philomelion](https://en.wikipedia.org/wiki/Philomelion "Philomelion").	The Turks abandon the entire coastal area of [Anatolia](https://en.wikipedia.org/wiki/Anatolia "Anatolia") and all of western [Anatolia](https://en.wikipedia.org/wiki/Anatolia "Anatolia")
1117		The [University of Oxford](https://en.wikipedia.org/wiki/University_of_Oxford "University of Oxford") is founded.	It is the oldest university in the [United Kingdom](https://en.wikipedia.org/wiki/United_Kingdom "United Kingdom").
1118		The [Knights Templar](https://en.wikipedia.org/wiki/Knights_Templar "Knights Templar") are founded to protect Jerusalem and European pilgrims on their journey to the city.	Becomes the most recognizable, and impactful [military orders](https://en.wikipedia.org/wiki/Military_order_(society) "Military order (society)") during the [Crusades](https://en.wikipedia.org/wiki/Crusades "Crusades").
