id	FileName	label	description
65932	Anthony_Hopkins,65932	Anthony_Hopkins	Welsh actor and director (born 1937)
65943	Theorem,65943	theorem	in mathematics, a statement that has been proved
65968	House_of_Habsburg,65968	House_of_Habsburg	Austrian imperial house
76768	Shirt,76768	shirt	garment for the upper body
76881	Gustav_Fechner,76881	Gustav_Fechner	German scientist (1801-1887)
76904	Kerosene,76904	kerosene	combustible hydrocarbon liquid
83864	Menstrual_cycle,83864	menstrual_cycle	a type of ovulation cycle where the endometrium is shed if pregnancy does not occur
83891	Sasanian_Empire,83891	Sasanian_Empire	last pre-Islamic Iranian empire (224–651 AD)
83902	Caelifera,83902	Caelifera	suborder of insects
83913	Cathode_ray_tube,83913	cathode_ray_tube	vacuum tube that can show moving pictures, vector graphics, or lines
80732	Tenzing_Norgay,80732	Tenzing_Norgay	Nepalese Indian Sherpa mountaineer (1914-1986)
80793	Sundial,80793	sundial	device that tells the time of day by the apparent position of the Sun in the sky
80811	Sputnik_1,80811	Sputnik_1	first artificial Earth satellite
80831	Integrated_circuit,80831	integrated_circuit	electronic circuit formed on a small, flat piece of semiconductor material
82778	Pliny_the_Elder,82778	Pliny_the_Elder	1st-century Roman military commander and writer
82799	Name,82799	name	word or phrase used for identification
82806	Zenith,82806	zenith	imaginary point directly above a particular location, on the imaginary celestial sphere
84122	Horus,84122	Horus	Egyptian war deity
84151	Taras_Shevchenko_National_University_of_Kyiv,84151	Taras_Shevchenko_National_University_of_Kyiv	public university in Kyiv, Ukraine
84170	Labrador_Peninsula,84170	Labrador_Peninsula	peninsula
84172	Otto_Rank,84172	Otto_Rank	Austrian psychologist (1884-1939)
65989	Wolfgang_Pauli,65989	Wolfgang_Pauli	physicist, Nobel prize winner (1900–1958)
65997	Caliph,65997	Caliph	in Sunni Islam, political–religious leader regarded as the successor of Muhammad and the leader of the ummah
66055	Fraction,66055	fraction	mathematical representation of a portion of a whole
70991	Hildegard_of_Bingen,70991	Hildegard_of_Bingen	German Medieval head of monastry, prophet, scientist, mystic and Doctor of Church (1098–1179)
71004	Emile_Berliner,71004	Emile_Berliner	German-born American inventor (1851–1929)
71023	Alfred_Kastler,71023	Alfred_Kastler	French physicist
80970	Orthodox_Judaism,80970	Orthodox_Judaism	one of the three major Judaism movement, and the formal one in Israel
80973	Breakfast,80973	breakfast	first meal eaten in the early morning
80994	Adult,80994	adult	living organism that has reached sexual maturity
80993	Software_engineering,80993	software_engineering	application on systematic approaches to developing software
83067	Timor,83067	Timor	island bordering the south of maritime Southeast Asia and the north of the Australian continental plate
83087	Flint,83087	flint	sedimentary rock, chert variety
83085	Soviet–Afghan_War,83085	Soviet–Afghan_War	1979–1989 war between the Soviet Union and Afghan insurgents
83090	Avatar,83090	avatar	material appearance or incarnation of a deity on earth in Hinduism
80956	Svante_August_Arrhenius,80956	Svante_August_Arrhenius	Swedish astronomer, chemist and physicist
80962	Animal_husbandry,80962	animal_husbandry	branch of agriculture concerned with animals that are raised for meat, fiber, milk, or other products
80968	Nihilism,80968	nihilism	philosophy of negation towards concepts, meaning, or life
82811	Acoustics,82811	acoustics	science that deals with the study of all mechanical waves in gases, liquids, and solids including vibration, sound, ultrasound and infrasound
82821	Tradition,82821	tradition	custom passed down through generations
82840	Alvar_Aalto,82840	Alvar_Aalto	Finnish architect and designer (1898–1976)
81041	Earth_water_cycle,81041	Earth_water_cycle	continuous movement of water on, above and below the surface of the Earth
81054	Storm,81054	storm	any disturbed state of an astronomical body's atmosphere
81058	Homeopathy,81058	homeopathy	system of pseudoscientific alternative medicine based on the doctrine of "like cures like"
83124	Manihot_Esculenta,83124	Manihot_Esculenta	species of flowering plant in the spurge family Euphorbiaceae
83125	Tower_Bridge,83125	Tower_Bridge	bascule and suspension bridge in London
83147	Chemical_formula,83147	chemical_formula	compact notation for chemical compounds giving element symbols and counts, including empirical formulas, molecular formulas, and condensed formulas
83152	Coulomb's_law,83152	Coulomb's_law	a physical law that states the electric force between two point charges is proportional to the product of the charges and inversely proportional to the square of the distance between them.
92604	Niklaus_Wirth,92604	Niklaus_Wirth	Swiss computer scientist (1934–2024)
92614	Douglas_Engelbart,92614	Douglas_Engelbart	American engineer and inventor
92627	Gary_Kildall,92627	Gary_Kildall	American computer scientist and entrepreneur
92624	Dan_Bricklin,92624	Dan_Bricklin	American computer scientist
92640	Alice's_Adventures_in_Wonderland,92640	Alice's_Adventures_in_Wonderland	novel by Lewis Carroll
77078	Arnold_Sommerfeld,77078	Arnold_Sommerfeld	German physicist (1868-1951)
77106	Kurt_Zadek_Lewin,77106	Kurt_Zadek_Lewin	(1890-1947) German-American psychologist
77141	Alexander_Grothendieck,77141	Alexander_Grothendieck	French mathematician (1928–2014)
82931	Coral_Sea,82931	Coral_Sea	marginal sea of the South Pacific off the northeast coast of Australia
82972	History_of_China,82972	history_of_China	account of past events in the Chinese civilisation
82984	Pierre_de_Coubertin,82984	Pierre_de_Coubertin	founder of modern Olympic Games, pedagogue and historian (1863-1937)
82990	Numerical_digit,82990	numerical_digit	numeric symbol used in combinations to represent numbers in positional numeral systems
86436	Tomahawk,86436	tomahawk	axe from North America
87138	Greco-Turkish_War,87138	Greco-Turkish_War	war lasting from 1919 to 1922 during the Turkish War of Independence
87982	African_Great_Lakes,87982	African_Great_Lakes	series of lakes in the Rift Valley
88480	Moat,88480	moat	dry or watery ditch surrounding a fortification or town
92552	Galois_theory,92552	Galois_theory	branch of mathematics that studies automorphism groups of fields
78477	Joseph_Schumpeter,78477	Joseph_Schumpeter	Austrian economist
78496	Konrad_Lorenz,78496	Konrad_Lorenz	Austrian zoologist, winner of the Nobel Prize in Physiology or Medicine in 1973
78520	Victor_Francis_Hess,78520	Victor_Francis_Hess	Austrian physicist and Nobel prize laureate (1883-1964)
69339	Nathaniel_Hawthorne,69339	Nathaniel_Hawthorne	American author (1804–1864)
69564	Taiga,69564	taiga	biome characterized by coniferous forests
69883	Urban_planning,69883	urban_planning	technical and political process concerned with the use of land and design of the urban environment
70702	Alkaloid,70702	alkaloid	class of naturally occurring chemical compounds
70784	Journey_to_the_West,70784	Journey_to_the_West	one of China's Four Great Classical Novels
78707	Yenisey,78707	Yenisey	river in Asia; the 5th-longest in the world
78879	Kolyma,78879	Kolyma	river in Magadan Oblast and Yakutia, Russia
78974	Electronegativity,78974	electronegativity	tendency of an atom to attract a shared pair of electrons
78987	Electric_guitar,78987	electric_guitar	electrified guitar; fretted stringed instrument with a neck and body that uses a pickup to convert the vibration of its strings into electrical signals
80837	Supernatural,80837	supernatural	entites or phenomena that are thought to be beyond the laws of nature
