KWebEntityId	English	Deutsch	Abbreviation	Weight-u	AtomRadius	Atomvol-ccm-mol	Unknown2	Radius-nm	Electronegativ	Density0°	MeltingPoint	BoilingPoint	HeatCapacity	HeatConduct	Enthalpy	FormEnergy-kj-mol	PeriodNo	GroupNo	Charge-e
21904	Hydrogenium	Wasserstoff	H	1.0079	0.79	14.4	0.32	13.598	2.1	0.09	-259.14	-252.87	14.304	0.001815	0.05868	0.44936	1	1	1
21905	Helium	Helium	He	4.0026	0.49	24.587	0.93	24.587	0	0.179	-272.2	-268.93	5.193	0.00152	0	0.0845	1	18	2
21906	Lithium	Lithium	Li	6.941	2.05	13.1	1.23	5.392	1	0.53	180.54	1347	3.6	0.847	3	145.92	2	1	3
21907	Beryllium	Beryllium	Be	9.0122	1.4	5.009	0.9	9.322	1.6	1.85	1278	2970	1.82	2	12.2	292.4	2	2	4
21908	Boron	Bor	B	10.811	1.17	4.6	0.82	8.298	2	2.34	2300	2550	102	0.27	50.2	489.7	2	13	5
21480	Carbon	Kohlenstoff	C	12.011	0.91	4.58	0.77	11.26	2.5	2.52	3550	4827	0.71	1.29	0	355.8	2	14	6
21909	Nitrogen	Stickstoff	N	14.0067	0.75	17.3	0.75	14.534	3	1.251	-209.86	-195.8	1.04	0.00026	0.3604	2.7928	2	15	7
21910	Oxygen	Sauerstoff	O	15.9994	0.65	14	0.73	13.618	3.4	1.429	-218.4	-182.96	0.92	0.000267	0.22259	3.4099	2	16	8
21911	Fluorine	Fluor	F	18.9984	0.57	17.1	0.72	17.422	4	1.696	-219.62	-188.14	0.82	0.000279	0.2552	3.2698	2	17	9
21912	Neon	Neon	Ne	20.17	0.51	16.7	0.71	21.564	0	0.901	-248.7	-246.05	0.904	0.000493	0.3317	1.7326	2	18	10
21913	Sodium	Natrium	Na	22.9898	2.23	23.7	1.54	5.139	0.9	0.97	97.81	882.9	1.23	1.41	2.598	96.96	3	1	11
21914	Magnesium	Magnesium	Mg	24.305	1.72	13.97	1.36	7.646	1.3	1.74	648.8	1090	1.02	1.56	8.954	127.4	3	2	12
9523	Aluminium	Aluminium	Al	26.9815	1.82	10	1.18	5.986	1.6	2.7	660.37	2467	0.9	2.37	10.79	293.4	3	13	13
21915	Silicon	Silicium	Si	28.0855	1.46	12.1	1.11	8.151	1.9	2.33	1410	2355	0.71	1.48	50.55	384.22	3	14	14
21916	Phosphorus	Phosphor	P	30.9738	1.23	17	1.06	10.486	2.2	1.82	44.1	280	0.77	0.00235	0.657	12.129	3	15	15
21917	Sulfur	Schwefel	S	32.066	1.09	15.5	1.02	10.36	2.6	2.07	112.8	444.67	0.71	0.00269	1.7175	0	3	16	16
21918	Chlorine	Chlor	Cl	35.453	0.97	22.7	0.99	12.967	3.2	3.17	-100.98	-34.6	0.48	8.9E-05	3.203	10.2	3	17	17
21919	Argon	Argon	Ar	39.948	0.51	16.7	0.71	21.564	0	1.784	-189.2	-185.7	0.904	0.000493	0.3317	1.7326	3	18	18
21920	Potassium	Kalium	K	39.0983	2.77	45.46	2.03	4.341	0.8	0.86	63.65	774	0.75	1.024	2.334	79.87	4	1	19
21921	Calcium	Calcium	Ca	40.078	2.23	29.9	1.74	6.113	1	1.55	839	1484	0.63	2	8.54	153.6	4	2	20
21922	Scandium	Scandium	Sc	44.9559	2.09	15	1.44	6.54	1.4	3	1539	2832	0.6	0.158	14.1	314.2	4	3	21
13522	Titanium	Titan	Ti	47.88	2	10.64	1.32	6.82	1.5	4.5	1660	3287	0.52	0.219	15.45	421	4	4	22
21923	Vanadium	Vanadium	V	50.9415	1.92	8.78	1.22	6.74	1.6	5.8	1890	3380	0.49	0.307	20.9	0	4	5	23
21924	Chromium	Chrom	Cr	51.996	1.85	7.23	1.18	6.766	1.7	7.19	1857	2672	0.45	0.937	16.9	344.3	4	6	24
21925	Manganese	Mangan	Mn	54.938	1.79	1.39	1.17	7.435	1.5	7.43	1244	1962	0.48	0.0782	12.05	226	4	7	25
16528	Iron	Eisen	Fe	55.847	1.72	7.1	1.17	7.87	1.8	7.86	1535	2750	0.44	0.802	13.8	349.6	4	8	26
21926	Cobalt	Kobalt	Co	58.9332	1.67	6.7	1.16	7.86	1.9	8.9	1495	2870	0.42	1	16.19	376.5	4	9	27
21927	Nickel	Nickel	Ni	58.69	1.62	6.59	1.15	7.635	1.9	8.9	1453	2732	0.44	0.907	14.47	370.4	4	10	28
6012	Copper	Kupfer	Cu	63.546	1.57	7.1	1.17	7.726	1.9	8.96	1083.4	2567	0.38	4.01	13.05	300.3	4	11	29
21928	Zinc	Zink	Zn	65.39	1.53	9.2	1.25	9.394	1.6	7.14	419.58	907	0.39	1.16	7.322	115.3	4	12	30
21929	Gallium	Gallium	Ga	69.723	1.81	11.8	1.26	5.999	1.8	5.91	29.78	2403	0.37	0.406	5.59	258.7	4	13	31
