Ln-nm	Absorption
5.298317367	0.999997898
5.690012589	0.999997898
5.690012589	0.999997898
5.690031925	0.999997898
5.690070792	0.999996497
5.690110244	0.999995096
5.690149892	0.999992294
5.690190125	0.999988091
5.690230554	0.999983887
5.690271569	0.999978283
5.690312975	0.999971978
5.690354771	0.999964272
5.690396958	0.999956566
5.69043934	0.999947459
5.690482308	0.999937651
5.690525666	0.999927143
5.69056922	0.999915234
5.69061336	0.999902624
5.690657695	0.999889314
5.690702421	0.999875303
5.690747537	0.999860591
5.690793044	0.999845179
5.690838942	0.999828366
5.690885035	0.999810853
5.690931518	0.999792639
5.690978392	0.999774424
5.691025462	0.999754809
5.691072922	0.999733793
5.691120772	0.999712776
5.691168818	0.999691059
5.691217255	0.999667941
5.691265887	0.999644823
5.69131491	0.999621005
5.691364323	0.999595785
5.691413931	0.999570566
5.69148893	0.999530635
5.691589709	0.999475291
5.691691661	0.999417146
5.691794784	0.999356199
5.691898883	0.99929315
5.692003764	0.999227298
5.692109817	0.999158645
5.692216651	0.99908789
5.692324266	0.999015033
5.692432858	0.998939374
5.692542231	0.998861614
5.692652385	0.998781751
5.692763125	0.998699087
5.692874647	0.998615022
5.692986949	0.998528854
5.693099643	0.998440586
5.693212922	0.998350916
5.693326787	0.998258444
5.693441238	0.998165271
5.69355608	0.998069297
5.693671507	0.997972621
5.69378713	0.997873844
5.693903144	0.997772966
5.694019548	0.997671387
5.694136147	0.997568407
5.694253137	0.997463325
5.694370127	0.997357542
5.694487508	0.997250359
5.694604889	0.997141774
5.694722465	0.997032489
5.694840041	0.996921803
5.694957812	0.996810416
5.695075388	0.996697628
5.695192964	0.99658414
5.69531054	0.996469951
5.695427921	0.996354361
5.695545106	0.996238771
5.695662291	0.99612178
5.695779086	0.996004789
5.695895686	0.995887097
5.69601209	0.995768705
5.696128103	0.995650313
5.696243531	0.99553122
5.696358763	0.995411427
5.69653083	0.995232087
5.696758365	0.9949918
5.696983752	0.994751513
5.697206404	0.994511926
5.697426322	0.99427234
5.697643115	0.994034154
5.697856588	0.993798071
5.698066154	0.993563388
5.69827201	0.993331507
5.698473373	0.993103129
5.698670049	0.992877554
