KWebEntityId	Version	ChangeTime	IsDeleted	IsPrivate	x	y	City	State	CountryId	_0	StateId	ChangeUserId	Population
28633	4	2011-08-26	0	0	96.07	50.78	Aachen		26878		36020	20	
28634	2	2011-07-12	0	0	9.93	57.05	Aalborg		26880			20	
28635	3	2011-08-22	0	0	10.09	48.83	Aalen		26878		36015	20	
28636	2	2011-07-12	0	0	6.15	62	Aalesund		26984			20	
28637	2	2011-07-12	0	0	8.04	47.38	Aarau		26865			20	
28638	2	2011-07-12	0	0	10.2	56.15	Aarhus		26880			20	
28639	3	2011-07-12	0	0	117.92	49.58	Abagaitul		26870			20	
28640	3	2011-09-05	0	0	93.5	53.75	Abakan		27007		37055	20	
28641	3	2011-08-22	0	0	12	48.92	Abbach		26878		36016	20	
28642	2	2011-07-12	0	0	42.87	41.77	Abbas-Tourmau		27007			20	
28643	2	2011-07-12	0	0	14.32	45.33	Abbazia		26930			20	
28644	2	2011-07-12	0	0	8.5	53.48	Abbehausen		27001			20	
28645	2	2011-07-12	0	0	-9.3	52.38	Abbeyfeale		26923			20	
28646	2	2011-07-12	0	0	8.95	45.28	Abbiategrosso		26930			20	
28647	2	2011-07-12	0	0	1.83	50.12	Abbéville		26896			20	
28648	2	2011-07-12	0	0	46.53	39.63	Abdalliar		27007			20	
28649	3	2011-08-22	0	0	11.87	48.77	Abensberg		26878		36016	20	
28650	2	2011-07-12	0	0	-3.43	51.72	Aberdare		26899			20	
28651	2	2011-07-12	0	0	-2.08	57.14	Aberdeen		26899			20	
28652	2	2011-07-12	0	0	-4.08	52.42	Aberystwith		26899			20	
28653	2	2011-07-12	0	0	-1.28	51.65	Abingdon		26899			20	
28654	2	2011-07-12	0	0	18.82	68.35	Abisko		27013			20	
28655	2	2011-07-12	0	0	25.4	58.12	Abja		27007			20	
28656	2	2011-07-12	0	0	22.27	60.45	Abo=Turko		26891			20	
28657	2	2011-07-12	0	0	-8.22	39.47	Abrantes		27001			20	
28658	3	2011-08-22	0	0	10	48.9	Abstgemuend		26878		36015	20	
28659	3	2011-08-06	0	0	54.42	24.47	Abu Dhabi		26826			20	
28660	2	2011-07-12	0	0	-2.37	53.75	Accrington		26899			20	
28661	3	2011-08-21	0	0	8	53.55	Accum		26878		36019	20	
28662	3	2011-08-22	0	0	8.07	48.63	Achern		26878		36015	20	
28663	2	2011-07-12	0	0	15.17	37.6	Acireale		26930			20	
28664	2	2011-07-12	0	0	-0.27	51.5	Acton		26899			20	
28665	2	2011-07-12	0	0	16.15	52.1	Adamovo		26996			20	
28666	2	2011-07-12	0	0	35.3	37.02	Adana		27039			20	
28667	3	2011-08-06	0	0	38.7	9.05	Addis Abeba		26890			20	
28668	2	2011-07-12	0	0	14.22	45.78	Adelsberg		26837			20	
28669	2	2011-07-12	0	0	16	58.18	Adelsnaes		27013			20	
28670	2	2011-07-12	0	0	45.02	12.77	Aden		27059			20	
28671	3	2011-08-22	0	0	6.93	50.38	Adenau		26878		36021	20	
28672	2	2011-07-12	0	0	14.45	47.58	Admont		26837			20	
28673	2	2011-07-12	0	0	12.23	59.8	Adolfsfors		27013			20	
28674	3	2011-08-22	0	0	12.25	50.32	Adorf		26878		36023	20	
28675	2	2011-07-12	0	0	-3.18	36.75	Adra		26889			20	
28676	2	2011-07-12	0	0	14.83	37.67	Adrano		26930			20	
28677	2	2011-07-12	0	0	26.57	41.68	Adrianopel		26910			20	
28678	2	2011-07-12	0	0	-9.6	30.43	Agadir		26956			20	
28679	2	2011-07-12	0	0	0.62	44.22	Agen		26896			20	
28680	2	2011-07-12	0	0	11.17	55.25	Aggersoee		26880			20	
28681	2	2011-07-12	0	0	15.42	48.3	Aggsbach		26837			20	
28682	2	2011-07-12	0	0	10.48	43.47	Agnano		26930			20	
28683	2	2011-07-12	0	0	15.23	37.33	Agnone		26930			20	
28684	2	2011-07-12	0	0	15.92	45.82	Agram		27061			20	
28685	2	2011-07-12	0	0	-1.45	37.38	Aguilas		26889			20	
28686	3	2011-08-21	0	0	7	52.08	Ahaus		26878		36020	20	
28687	3	2011-08-21	0	0	7.58	51.77	Ahlen		26878		36020	20	
28688	3	2011-08-21	0	0	8.2	52.9	Ahlhorn		26878		36019	20	
28689	3	2011-08-21	0	0	7.08	50.53	Ahrweiler		26878		36021	20	
28690	3	2011-08-22	0	0	11.13	48.47	Aichach		26878		36016	20	
28691	2	2011-07-12	0	0	27.3	42.7	Aidos		26846			20	
28692	2	2011-07-12	0	0	0.07	43.57	Aiguesmorth		26896			20	
28693	2	2011-07-12	0	0	1.18	49.92	Ailly		26896			20	
28694	2	2011-07-12	0	0	24.37	57.87	Ainazi		27007			20	
28695	2	2011-07-12	0	0	8.6	46.52	Airolo		26865			20	
28696	3	2011-08-22	0	0	10.53	47.82	Aitrang		26878		36016	20	
