domainIncludes	has_label_snail	rangeIncludes	label_snail	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
GeoCircle	midpoint	GeoCoordinates	geo_midpoint	geo-midpoint	geoMidpoint								"Indicates the GeoCoordinates at the centre of a GeoShape, e.g. GeoCircle."
Place	place	"GeoCoordinates, GeoShape"	geo	geo	geo								The geo coordinates of the place.
"ActionAccessSpecification, DeliveryChargeSpecification, Demand, Offer"	eligible_region	"GeoShape, Place, Text"	eligible_region	eligible-region	eligibleRegion		areaServed						"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is valid.<br/><br/>

See also <a class=""localLink"" href=""/ineligibleRegion"">ineligibleRegion</a>."
"ActionAccessSpecification, DeliveryChargeSpecification, Demand, MediaObject, Offer"	ineligible_region	"GeoShape, Place, Text"	ineligible_region	ineligible-region	ineligibleRegion	pending:							"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.<br/><br/>

See also <a class=""localLink"" href=""/eligibleRegion"">eligibleRegion</a>."
"GeospatialGeometry, Place"	that_contains	"GeospatialGeometry, Place"	geo_contains	geo-contains	geoContains								"Represents a relationship between two geometries (or the places they represent), relating a containing geometry to a contained geometry. ""a contains b iff no points of b lie in the exterior of a, and at least one point of the interior of b lies in the interior of a"". As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
"GeospatialGeometry, Place"	covered_by	"GeospatialGeometry, Place"	geo_covered_by	geo-covered-by	geoCoveredBy								"Represents a relationship between two geometries (or the places they represent), relating a geometry to another that covers it. As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
"GeospatialGeometry, Place"	that_covers	"GeospatialGeometry, Place"	geo_covers	geo-covers	geoCovers								"Represents a relationship between two geometries (or the places they represent), relating a covering geometry to a covered geometry. ""Every point of b is a point of (the interior or boundary of) a"". As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
"GeospatialGeometry, Place"	crossing	"GeospatialGeometry, Place"	geo_crosses	geo-crosses	geoCrosses								"Represents a relationship between two geometries (or the places they represent), relating a geometry to another that crosses it: ""a crosses b: they have some but not all interior points in common, and the dimension of the intersection is less than that of at least one of them"". As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
"GeospatialGeometry, Place"	disjoint_with	"GeospatialGeometry, Place"	geo_disjoint	geo-disjoint	geoDisjoint								"Represents spatial relations in which two geometries (or the places they represent) are topologically disjoint: ""they have no point in common. They form a set of disconnected geometries."" (A symmetric relationship, as defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>.)"
"GeospatialGeometry, Place"	equal_to	"GeospatialGeometry, Place"	geo_equals	geo-equals	geoEquals								"Represents spatial relations in which two geometries (or the places they represent) are topologically equal, as defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>. ""Two geometries are topologically equal if their interiors intersect and no part of the interior or boundary of one geometry intersects the exterior of the other"" (a symmetric relationship)."
"GeospatialGeometry, Place"	that_intersects	"GeospatialGeometry, Place"	geo_intersects	geo-intersects	geoIntersects								"Represents spatial relations in which two geometries (or the places they represent) have at least one point in common. As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
"GeospatialGeometry, Place"	that_overlaps	"GeospatialGeometry, Place"	geo_overlaps	geo-overlaps	geoOverlaps								"Represents a relationship between two geometries (or the places they represent), relating a geometry to another that geospatially overlaps it, i.e. they have some but not all points in common. As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
"GeospatialGeometry, Place"	that_touches	"GeospatialGeometry, Place"	geo_touches	geo-touches	geoTouches								"Represents spatial relations in which two geometries (or the places they represent) touch: ""they have at least one boundary point in common, but no interior points."" (A symmetric relationship, as defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>.)"
"GeospatialGeometry, Place"	within	"GeospatialGeometry, Place"	geo_within	geo-within	geoWithin								"Represents a relationship between two geometries (or the places they represent), relating a geometry to one that contains it, i.e. it is inside (i.e. within) its interior. As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
BroadcastService	area	Place	area	area	area							serviceArea	The area within which users can expect to reach the broadcast service.
"Demand, Offer"	is_available_at_or_from	Place	available_at_or_from	available-at-or-from	availableAtOrFrom		areaServed						The place(s) from which the offer can be obtained (e.g. store locations).
Person	birth_place	Place	birth_place	birth-place	birthPlace								The place where the person was born.
Place	contained_in	Place	contained_in	contained-in	containedIn							containedInPlace	The basic containment relation between a place and one that contains it.
Place	contained_in_place	Place	contained_in_place	contained-in-place	containedInPlace					containsPlace	containedIn		The basic containment relation between a place and one that contains it.
Place	containing_place	Place	contains_place	contains-place	containsPlace					containedInPlace			The basic containment relation between a place and another that it contains.
CreativeWork	content_location	Place	content_location	content-location	contentLocation				spatialCoverage				"The location depicted or described in the content. For example, the location in a photograph or painting."
ExerciseAction	course	Place	course	course	course		location					exerciseCourse	A sub property of location. The course where this action was taken.
Person	death_place	Place	death_place	death-place	deathPlace								The place where the person died.
RentalCarReservation	dropoff_location	Place	dropoff_location	dropoff-location	dropoffLocation								Where a rental car can be dropped off.
ExerciseAction	exercise_course	Place	exercise_course	exercise-course	exerciseCourse		location				course		A sub property of location. The course where this action was taken.
Organization	founding_location	Place	founding_location	founding-location	foundingLocation								The place where the Organization was founded.
"ExerciseAction, MoveAction, TransferAction"	from_location	Place	from_location	from-location	fromLocation		location						A sub property of location. The original location of the object or the agent before the action.
"Organization, Person"	POS	Place	has_POS	has-pos	hasPOS								Points-of-Sales operated by the organization or person.
JobPosting	job_location	Place	job_location	job-location	jobLocation								A (typically single) geographic location associated with the job position.
CreativeWork	location_created	Place	location_created	location-created	locationCreated								"The location where the CreativeWork was created, which may not be the same as the location depicted in the CreativeWork."
"RentalCarReservation, TaxiReservation"	pickup_location	Place	pickup_location	pickup-location	pickupLocation								Where a taxi will pick up a passenger or a rental car can be picked up.
MediaObject	regions_allowed	Place	regions_allowed	regions-allowed	regionsAllowed								"The regions where the media is allowed. If not specified, then it's assumed to be allowed everywhere. Specify the countries in <a href=""http://en.wikipedia.org/wiki/ISO_3166"">ISO 3166 format</a>."
ServiceChannel	service_location	Place	service_location	service-location	serviceLocation								"The location (e.g. civic structure, local business, etc.) where a person can go to access the service."
CreativeWork	spatial	Place	spatial	spatial	spatial			dc:spatial					"The ""spatial"" property can be used in cases when more specific properties
(e.g. <a class=""localLink"" href=""/locationCreated"">locationCreated</a>, <a class=""localLink"" href=""/spatialCoverage"">spatialCoverage</a>, <a class=""localLink"" href=""/contentLocation"">contentLocation</a>) are not known to be appropriate."
CreativeWork	spatial_coverage	Place	spatial_coverage	spatial-coverage	spatialCoverage		contentLocation	dc:spatial	"announcementLocation, legislationJurisdiction"				"The spatialCoverage of a CreativeWork indicates the place(s) which are the focus of the content. It is a subproperty of
      contentLocation intended primarily for more technical and detailed materials. For example with a Dataset, it indicates
      areas that the dataset describes: a dataset of New York weather would have spatialCoverage which was the place: the state of New York."
"ExerciseAction, InsertAction, MoveAction, TransferAction"	to_location	Place	to_location	to-location	toLocation		location						A sub property of location. The final location of the object or the agent after the action.
ArchiveComponent	item_location	"Place, PostalAddress, Text"	item_location	item-location	itemLocation	pending:	location						Current location of the item.
"Action, Event, InteractionCounter, Organization"	location	"Place, PostalAddress, Text, VirtualLocation"	location	location	location				"course, entertainmentBusiness, exerciseCourse, foodEstablishment, foodEvent, fromLocation, homeLocation, itemLocation, sportsActivityLocation, sportsEvent, toLocation, workLocation"				"The location of, for example, where an event is happening, where an organization is located, or where an action takes place."
"Game, VideoGameSeries"	game_location	"Place, PostalAddress, URL"	game_location	game-location	gameLocation								Real or fictional location of the game (or part of game).
Order	billing_address	PostalAddress	billing_address	billing-address	billingAddress								The billing address for the order.
ParcelDelivery	delivery_address	PostalAddress	delivery_address	delivery-address	deliveryAddress								Destination address.
ParcelDelivery	origin_address	PostalAddress	origin_address	origin-address	originAddress								Shipper's address.
ServiceChannel	service_postal_address	PostalAddress	service_postal_address	service-postal-address	servicePostalAddress								The address for accessing the service by mail.
"GeoCoordinates, GeoShape, Organization, Person, Place"	address	"PostalAddress, Text"	address	address	address								Physical address of the item.
DefinedRegion	postal_code_range	PostalCodeRangeSpecification	postal_code_range	postal-code-range	postalCodeRange	pending:							A defined range of postal codes.
