domainIncludes	label_snail	rangeIncludes	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
CommunicateAction, CreativeWork, Event	about	Thing	about	about				mainEntity	subjectOf			The subject matter of the content.
Question	accepted_answer	Answer, ItemList	accepted-answer	acceptedAnswer		suggestedAnswer						The answer(s) that has been accepted as best, typically on a Question/Answer site. Sites vary in their selection mechanisms, e.g. drawing on community opinion and/or the view of the Question author.
Order	accepted_offer	Offer	accepted-offer	acceptedOffer								The offer(s) -- e.g., product, quantity and price combinations -- included in the order.
Demand, Offer	accepted_payment_method	LoanOrCredit, PaymentMethod	accepted-payment-method	acceptedPaymentMethod								The payment method(s) accepted by seller for this offer.
CreativeWork	access_mode_sufficient	ItemList	access-mode-sufficient	accessModeSufficient								A list of single or combined accessModes that are sufficient to understand all the intellectual content of a resource. Values should be drawn from the <a href="https://www.w3.org/2021/a11y-discov-vocab/latest/#accessModeSufficient-vocabulary">approved vocabulary</a>.
Accommodation, Residence	accommodation_floor_plan	FloorPlan	accommodation-floor-plan	accommodationFloorPlan	pending:							A floorplan of some <a class="localLink" href="/Accommodation">Accommodation</a>.
CreativeWork	accountable_person	Person	accountable-person	accountablePerson								Specifies the Person that is legally accountable for the CreativeWork.
CreativeWork	acquire_license_page	CreativeWork, URL	acquire-license-page	acquireLicensePage	pending:	usageInfo						Indicates a page documenting how licenses can be purchased or otherwise acquired, for the current item.
OwnershipInfo	acquired_from	Organization, Person	acquired-from	acquiredFrom								The organization or person from which the product was acquired.
ConsumeAction	action_accessibility_requirement	ActionAccessSpecification	action-accessibility-requirement	actionAccessibilityRequirement								A set of requirements that must be fulfilled in order to perform an Action. If more than one value is specified, fulfilling one set of requirements will allow the Action to be performed.
EntryPoint	action_application	SoftwareApplication	action-application	actionApplication						application		An application that can complete the request.
EntryPoint	action_platform	DigitalPlatformEnumeration, Text, URL	action-platform	actionPlatform								The high level platform(s) where the Action can be performed for the given URL. To specify a specific application or operating system instance, use actionApplication.
Action	action_status	ActionStatusType	action-status	actionStatus								Indicates the current disposition of the Action.
NewsMediaOrganization, Organization	actionable_feedback_policy	CreativeWork, URL	actionable-feedback-policy	actionableFeedbackPolicy	pending:	publishingPrinciples						For a <a class="localLink" href="/NewsMediaOrganization">NewsMediaOrganization</a> or other news-related <a class="localLink" href="/Organization">Organization</a>, a statement about public engagement activities (for news media, the newsroom�s), including involving the public - digitally or otherwise -- in coverage decisions, reporting and activities after publication.
Clip, CreativeWorkSeason, Episode, Event, Movie, MovieSeries, PodcastSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	actor	Person	actor	actor				readBy		actors		An actor, e.g. in TV, radio, movie, video games etc., or in an event. Actors can be associated with individual items or with a series, episode, clip.
Clip, Episode, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	actors	Person	actors	actors							actor	An actor, e.g. in TV, radio, movie, video games etc. Actors can be associated with individual items or with a series, episode, clip.
Offer	add_on	Offer	add-on	addOn								An additional offer that can only be obtained in combination with the first base offer (e.g. supplements and extensions that are available for a surcharge).
MerchantReturnPolicy, Place, Product, QualitativeValue, QuantitativeValue	additional_property	PropertyValue	additional-property	additionalProperty								"A property-value pair representing an additional characteristic of the entity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>

Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. width, color, gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism."
DefinedRegion, GeoCoordinates, GeoShape, PostalAddress	address_country	Country, Text	address-country	addressCountry								The country. For example, USA. You can also provide the two-letter <a href="http://en.wikipedia.org/wiki/ISO_3166-1">ISO 3166-1 alpha-2 country code</a>.
Offer, Product	adult_consideration	AdultOrientedEnumeration	has-adult-consideration	hasAdultConsideration	pending:							Used to tag an item to be intended or suitable for consumption or use by adults only.
MedicalDevice, TherapeuticProcedure	adverse_outcome	MedicalEntity	adverse-outcome	adverseOutcome								A possible complication and/or side effect of this therapy. If it is known that an adverse outcome is serious (resulting in death, disability, or permanent damage; requiring hospitalization; or otherwise life-threatening or requiring immediate medical attention), tag it as a seriousAdverseOutcome instead.
MedicalTest	affected_by	Drug	affected-by	affectedBy								Drugs that affect the test's results.
Person	affiliation	Organization	affiliation	affiliation		memberOf						An organization that this person is affiliated with. For example, a school/university, a club, or a team.
HowToDirection	after_media	MediaObject, URL	after-media	afterMedia								A media object representing the circumstances after performing this direction.
Action	agent	Organization, Person	agent	agent								The direct performer or driver of the action (animate or inanimate). E.g. <em>John</em> wrote a book.
Brand, CreativeWork, Event, Offer, Organization, Place, Product, Service	aggregate_rating	AggregateRating	aggregate-rating	aggregateRating								The overall rating, based on a collection of reviews or ratings, of the item.
Flight	aircraft	Text, Vehicle	aircraft	aircraft								The kind of aircraft (e.g., "Boeing 747").
MusicGroup	album	MusicAlbum	album	album						albums		A music album.
MusicAlbum	album_production_type	MusicAlbumProductionType	album-production-type	albumProductionType								Classification of the album by its type of content: soundtrack, live album, studio album, etc.
MusicAlbum	album_release	MusicRelease	album-release	albumRelease					releaseOf			A release of this album.
MusicAlbum	album_release_type	MusicAlbumReleaseType	album-release-type	albumReleaseType								The kind of release which this album is: single, EP or album.
MusicGroup	albums	MusicAlbum	albums	albums							album	A collection of music albums.
Gene	alternative_of	Gene	alternative-of	alternativeOf	pending:							Another gene which is a variation of this one.
EducationalOrganization, Organization	alumni	Person	alumni	alumni					alumniOf			Alumni of an organization.
Person	alumni_of	EducationalOrganization, Organization	alumni-of	alumniOf					alumni			An organization that the person is an alumni of.
Accommodation, FloorPlan, LodgingBusiness, Place	amenity_feature	LocationFeatureSpecification	amenity-feature	amenityFeature								An amenity feature (e.g. a characteristic or service) of the Accommodation. This generic property does not make a statement about whether the feature is included in an offer for the main accommodation or available at extra costs.
SpecialAnnouncement	announcement_location	CivicStructure, LocalBusiness	announcement-location	announcementLocation	pending:	spatialCoverage						Indicates a specific <a class="localLink" href="/CivicStructure">CivicStructure</a> or <a class="localLink" href="/LocalBusiness">LocalBusiness</a> associated with the SpecialAnnouncement. For example, a specific testing facility or business with special opening hours. For a larger geographic region like a quarantine of an entire region, use <a class="localLink" href="/spatialCoverage">spatialCoverage</a>.
Answer	answer_explanation	Comment, WebContent	answer-explanation	answerExplanation	pending:							A step-by-step or full explanation about Answer. Can outline how this Answer was achieved or contain more broad clarification or statement about it.
Muscle	antagonist	Muscle	antagonist	antagonist								The muscle whose action counteracts the specified muscle.
Claim	appearance	CreativeWork	appearance	appearance	pending:	workExample						Indicates an occurrence of a <a class="localLink" href="/Claim">Claim</a> in some <a class="localLink" href="/CreativeWork">CreativeWork</a>.
MerchantReturnPolicy	applicable_country	Country, Text	applicable-country	applicableCountry	pending:							A country where a particular merchant return policy applies to, for example the two-letter ISO 3166-1 alpha-2 country code.
DrugCost, DrugLegalStatus	applicable_location	AdministrativeArea	applicable-location	applicableLocation								The location in which the status applies.
JobPosting	applicant_location_requirements	AdministrativeArea	applicant-location-requirements	applicantLocationRequirements	pending:							The location(s) applicants can apply from. This is usually used for telecommuting jobs where the applicant does not need to be in a physical office. Note: This should not be used for citizenship or work visa requirements.
EntryPoint	application	SoftwareApplication	application	application							actionApplication	An application that can complete the request.
JobPosting	application_contact	ContactPoint	application-contact	applicationContact	pending:							Contact details for further information relevant to this job posting.
ArchiveOrganization	archive_held	ArchiveComponent	archive-held	archiveHeld	pending:				holdingArchive			Collection, <a href="https://en.wikipedia.org/wiki/Fonds">fonds</a>, or item held, kept or maintained by an <a class="localLink" href="/ArchiveOrganization">ArchiveOrganization</a>.
ContactPoint, DeliveryChargeSpecification, Demand, Offer, Organization, Service	area_served	AdministrativeArea, GeoShape, Place, Text	area-served	areaServed				availableAtOrFrom, eligibleRegion		serviceArea		The geographic area where a service or offered item is provided.
Flight	arrival_airport	Airport	arrival-airport	arrivalAirport								The airport where the flight terminates.
BoatTrip	arrival_boat_terminal	BoatTerminal	arrival-boat-terminal	arrivalBoatTerminal	pending:							The terminal or port from which the boat arrives.
BusTrip	arrival_bus_stop	BusStation, BusStop	arrival-bus-stop	arrivalBusStop								The stop or station from which the bus arrives.
TrainTrip	arrival_station	TrainStation	arrival-station	arrivalStation								The station where the train trip ends.
Artery	arterial_branch	AnatomicalStructure	arterial-branch	arterialBranch						branch		The branches that comprise the arterial structure.
ComicIssue, ComicStory, VisualArtwork	artist	Person	artist	artist	https://bib.schema.org							"The primary artist for a work
        in a medium other than pencils or digital line art--for example, if the
        primary artwork is done in watercolors or digital paints."
CreativeWork, EducationEvent, LearningResource	assesses	DefinedTerm, Text	assesses	assesses	pending:							The item being described is intended to assess the competency or learning outcome defined by the referenced term.
MedicalCondition, PhysicalActivity	associated_anatomy	AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy	associated-anatomy	associatedAnatomy								The anatomy of the underlying organ system or structures associated with this entity.
MediaObject	associated_article	NewsArticle	associated-article	associatedArticle								A NewsArticle associated with the Media Object.
Review	associated_claim_review	Review	associated-claim-review	associatedClaimReview	pending:	associatedReview						An associated <a class="localLink" href="/ClaimReview">ClaimReview</a>, related by specific common content, topic or claim. The expectation is that this property would be most typically used in cases where a single activity is conducting both claim reviews and media reviews, in which case <a class="localLink" href="/relatedMediaReview">relatedMediaReview</a> would commonly be used on a <a class="localLink" href="/ClaimReview">ClaimReview</a>, while <a class="localLink" href="/relatedClaimReview">relatedClaimReview</a> would be used on <a class="localLink" href="/MediaReview">MediaReview</a>.
BioChemEntity	associated_disease	MedicalCondition, PropertyValue, URL	associated-disease	associatedDisease	pending:							Disease associated to this BioChemEntity. Such disease can be a MedicalCondition or a URL. If you want to add an evidence supporting the association, please use PropertyValue.
CreativeWork, HyperToc, HyperTocEntry	associated_media	MediaObject	associated-media	associatedMedia								A media object that encodes this CreativeWork. This property is a synonym for encoding.
Review	associated_media_review	Review	associated-media-review	associatedMediaReview	pending:	associatedReview						An associated <a class="localLink" href="/MediaReview">MediaReview</a>, related by specific common content, topic or claim. The expectation is that this property would be most typically used in cases where a single activity is conducting both claim reviews and media reviews, in which case <a class="localLink" href="/relatedMediaReview">relatedMediaReview</a> would commonly be used on a <a class="localLink" href="/ClaimReview">ClaimReview</a>, while <a class="localLink" href="/relatedClaimReview">relatedClaimReview</a> would be used on <a class="localLink" href="/MediaReview">MediaReview</a>.
Review	associated_review	Review	associated-review	associatedReview	pending:			associatedClaimReview, associatedMediaReview				An associated <a class="localLink" href="/Review">Review</a>.
SportsTeam	athlete	Person	athlete	athlete								A person that acts as performing member of a sports team; a player as opposed to a coach.
Event	attendee	Organization, Person	attendee	attendee						attendees		A person or organization attending the event.
Event	attendees	Organization, Person	attendees	attendees							attendee	A person attending the event.
CreativeWork, Event, LodgingBusiness, PlayAction, Product, Service	audience	Audience	audience	audience						serviceAudience		An intended audience, i.e. a group for whom something was created.
CreativeWork	audio	AudioObject, Clip, MusicRecording	audio	audio								An embedded audio object.
MediaSubscription	authenticator	Organization	authenticator	authenticator								The Organization responsible for authenticating the user's subscription. For example, many media apps require a cable/satellite provider to authenticate your subscription before playing media.
CreativeWork, Rating	author	Organization, Person	author	author								The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.
Demand, Offer	availability	ItemAvailability	availability	availability								The availability of this item&#x2014;for example In stock, Out of stock, Pre-order, etc.
Service	available_channel	ServiceChannel	available-channel	availableChannel								A means of accessing the service (e.g. a phone bank, a web site, a location, etc.).
Demand, Offer	available_delivery_method	DeliveryMethod	available-delivery-method	availableDeliveryMethod								The delivery method(s) available for this offer.
ContactPoint, LodgingBusiness, ServiceChannel, TouristAttraction	available_language	Language, Text	available-language	availableLanguage								A language someone may use with or at the item, service or place. Please use one of the language codes from the <a href="http://tools.ietf.org/html/bcp47">IETF BCP 47 standard</a>. See also <a class="localLink" href="/inLanguage">inLanguage</a>.
Hospital, MedicalClinic, Physician	available_service	MedicalProcedure, MedicalTest, MedicalTherapy	available-service	availableService								A medical service available from this provider.
Drug	available_strength	DrugStrength	available-strength	availableStrength								An available dosage strength for the drug.
DiagnosticLab	available_test	MedicalTest	available-test	availableTest								A diagnostic test or procedure offered by this lab.
SportsEvent	away_team	Person, SportsTeam	away-team	awayTeam		competitor						The away team in a sports event.
Article	backstory	CreativeWork, Text	backstory	backstory	pending:							For an <a class="localLink" href="/Article">Article</a>, typically a <a class="localLink" href="/NewsArticle">NewsArticle</a>, the backstory property provides a textual summary giving a brief explanation of why and how an article was created. In a journalistic setting this could include information about reporting process, methods, interviews, data sources, etc.
Message	bcc_recipient	ContactPoint, Organization, Person	bcc-recipient	bccRecipient		recipient						A sub property of recipient. The recipient blind copied on a message.
HotelRoom, Suite	bed	BedDetails, BedType, Text	bed	bed								"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."
HowToDirection	before_media	MediaObject, URL	before-media	beforeMedia								A media object representing the circumstances before performing this direction.
MoneyTransfer	beneficiary_bank	BankOrCreditUnion, Text	beneficiary-bank	beneficiaryBank	pending:							A bank or bank�s branch, financial institution or international financial institution operating the beneficiary�s bank account or releasing funds for the beneficiary.
BioChemEntity	bio_chem_entity_part	BioChemEntity	has-bio-chem-entity-part	hasBioChemEntityPart	pending:				isPartOfBioChemEntity			Indicates a BioChemEntity that (in some sense) has this BioChemEntity as a part.
BioChemEntity	bio_chem_interaction	BioChemEntity	bio-chem-interaction	bioChemInteraction	pending:							A BioChemEntity that is known to interact with this item.
BioChemEntity	bio_chem_similarity	BioChemEntity	bio-chem-similarity	bioChemSimilarity	pending:							A similar BioChemEntity, e.g., obtained by fingerprint similarity algorithms.
BioChemEntity	biological_role	DefinedTerm	biological-role	biologicalRole	pending:							A role played by the BioChemEntity within a biological context.
Blog	blog_post	BlogPosting	blog-post	blogPost						blogPosts		A posting that is part of this blog.
Blog	blog_posts	BlogPosting	blog-posts	blogPosts							blogPost	Indicates a post that is part of a <a class="localLink" href="/Blog">Blog</a>. Note that historically, what we term a "Blog" was once known as a "weblog", and that what we term a "BlogPosting" is now often colloquially referred to as a "blog".
Muscle	blood_supply	Vessel	blood-supply	bloodSupply								The blood vessel that carries blood from the heart to the muscle.
Airline, Flight	boarding_policy	BoardingPolicyType	boarding-policy	boardingPolicy								The type of boarding policy used by the airline (e.g. zone-based or group-based).
Vehicle	body_type	QualitativeValue, Text, URL	body-type	bodyType	https://auto.schema.org							Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).
Book	book_format	BookFormatType	book-format	bookFormat								The format of the book.
Reservation	booking_agent	Organization, Person	booking-agent	bookingAgent							broker	'bookingAgent' is an out-dated term indicating a 'broker' that serves as a booking agent.
LendAction	borrower	Person	borrower	borrower		participant						A sub property of participant. The person that borrows the object being lent.
