label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
about				mainEntity	CommunicateAction, CreativeWork, Event	Thing	subjectOf			The subject matter of the content.
abridged	https://bib.schema.org				Book	Boolean				Indicates whether the book is an abridged edition.
abstract	pending:				CreativeWork	Text				"An abstract is a short description that summarizes a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>."
accelerationTime	https://auto.schema.org				Vehicle	QuantitativeValue				"The time needed to accelerate the vehicle from a given start velocity to a given target velocity.<br/><br/>

Typical unit code(s): SEC for seconds<br/><br/>

<ul>
<li>Note: There are unfortunately no standard unit codes for seconds/0..100 km/h or seconds/0..60 mph. Simply use ""SEC"" for seconds and indicate the velocities in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a>, or use <a class=""localLink"" href=""/valueReference"">valueReference</a> with a <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> of 0..60 mph or 0..100 km/h to specify the reference speeds.</li>
</ul>"
acceptedAnswer		suggestedAnswer			Question	Answer, ItemList				The answer(s) that has been accepted as best, typically on a Question/Answer site. Sites vary in their selection mechanisms, e.g. drawing on community opinion and/or the view of the Question author.
acceptedOffer					Order	Offer				The offer(s) -- e.g., product, quantity and price combinations -- included in the order.
acceptedPaymentMethod					Demand, Offer	LoanOrCredit, PaymentMethod				The payment method(s) accepted by seller for this offer.
acceptsReservations					FoodEstablishment	Boolean, Text, URL				Indicates whether a FoodEstablishment accepts reservations. Values can be Boolean, an URL at which reservations can be made or (for backwards compatibility) the strings <code>Yes</code> or <code>No</code>.
accessCode					DeliveryEvent	Text				Password, PIN, or access code needed for delivery (e.g. from a locker).
accessMode					CreativeWork	Text				"The human sensory perceptual system or cognitive faculty through which a person may process or perceive information. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessMode-vocabulary"">approved vocabulary</a>."
accessModeSufficient					CreativeWork	ItemList				"A list of single or combined accessModes that are sufficient to understand all the intellectual content of a resource. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessModeSufficient-vocabulary"">approved vocabulary</a>."
accessibilityAPI					CreativeWork	Text				"Indicates that the resource is compatible with the referenced accessibility API. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityAPI-vocabulary"">approved vocabulary</a>."
accessibilityControl					CreativeWork	Text				"Identifies input methods that are sufficient to fully control the described resource. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityControl-vocabulary"">approved vocabulary</a>."
accessibilityFeature					CreativeWork	Text				"Content features of the resource, such as accessible media, alternatives and supported enhancements for accessibility. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityFeature-vocabulary"">approved vocabulary</a>."
accessibilityHazard					CreativeWork	Text				"A characteristic of the described resource that is physiologically dangerous to some users. Related to WCAG 2.0 guideline 2.3. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityHazard-vocabulary"">approved vocabulary</a>."
accessibilitySummary					CreativeWork	Text				"A human-readable summary of specific accessibility features or deficiencies, consistent with the other accessibility metadata but expressing subtleties such as ""short descriptions are present but long descriptions will be needed for non-visual users"" or ""short descriptions are present and no long descriptions are needed."""
accommodationCategory	pending:	category			Accommodation	Text				"Category of an <a class=""localLink"" href=""/Accommodation"">Accommodation</a>, following real estate conventions, e.g. RESO (see <a href=""https://ddwiki.reso.org/display/DDW17/PropertySubType+Field"">PropertySubType</a>, and <a href=""https://ddwiki.reso.org/display/DDW17/PropertyType+Field"">PropertyType</a> fields  for suggested values)."
accommodationFloorPlan	pending:				Accommodation, Residence	FloorPlan				"A floorplan of some <a class=""localLink"" href=""/Accommodation"">Accommodation</a>."
accountId		identifier			Invoice	Text				The identifier for the account the payment will be applied to.
accountMinimumInflow	pending:				BankAccount	MonetaryAmount				A minimum amount that has to be paid in every month.
accountOverdraftLimit	pending:				BankAccount	MonetaryAmount				An overdraft is an extension of credit from a lending institution when an account reaches zero. An overdraft allows the individual to continue withdrawing money even if the account has no funds in it. Basically the bank allows people to borrow a set amount of money.
accountablePerson					CreativeWork	Person				Specifies the Person that is legally accountable for the CreativeWork.
acquireLicensePage	pending:	usageInfo			CreativeWork	CreativeWork, URL				Indicates a page documenting how licenses can be purchased or otherwise acquired, for the current item.
acquiredFrom					OwnershipInfo	Organization, Person				The organization or person from which the product was acquired.
acrissCode	https://auto.schema.org				BusOrCoach, Car	Text				The ACRISS Car Classification Code is a code used by many car rental companies, for classifying vehicles. ACRISS stands for Association of Car Rental Industry Systems and Standards.
actionAccessibilityRequirement					ConsumeAction	ActionAccessSpecification				A set of requirements that must be fulfilled in order to perform an Action. If more than one value is specified, fulfilling one set of requirements will allow the Action to be performed.
actionApplication					EntryPoint	SoftwareApplication		application		An application that can complete the request.
actionOption		object			ChooseAction	Text, Thing		option		A sub property of object. The options subject to this action.
actionPlatform					EntryPoint	DigitalPlatformEnumeration, Text, URL				The high level platform(s) where the Action can be performed for the given URL. To specify a specific application or operating system instance, use actionApplication.
actionStatus					Action	ActionStatusType				Indicates the current disposition of the Action.
