domainIncludes	label_snail	rangeIncludes	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
CreativeWork	abstract	Text	abstract	abstract	pending:							An abstract is a short description that summarizes a <a class="localLink" href="/CreativeWork">CreativeWork</a>.
DeliveryEvent	access_code	Text	access-code	accessCode								Password, PIN, or access code needed for delivery (e.g. from a locker).
CreativeWork	access_mode	Text	access-mode	accessMode								The human sensory perceptual system or cognitive faculty through which a person may process or perceive information. Values should be drawn from the <a href="https://www.w3.org/2021/a11y-discov-vocab/latest/#accessMode-vocabulary">approved vocabulary</a>.
CreativeWork	accessibility_api	Text	accessibility-api	accessibilityAPI								Indicates that the resource is compatible with the referenced accessibility API. Values should be drawn from the <a href="https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityAPI-vocabulary">approved vocabulary</a>.
CreativeWork	accessibility_control	Text	accessibility-control	accessibilityControl								Identifies input methods that are sufficient to fully control the described resource. Values should be drawn from the <a href="https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityControl-vocabulary">approved vocabulary</a>.
CreativeWork	accessibility_feature	Text	accessibility-feature	accessibilityFeature								Content features of the resource, such as accessible media, alternatives and supported enhancements for accessibility. Values should be drawn from the <a href="https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityFeature-vocabulary">approved vocabulary</a>.
CreativeWork	accessibility_hazard	Text	accessibility-hazard	accessibilityHazard								A characteristic of the described resource that is physiologically dangerous to some users. Related to WCAG 2.0 guideline 2.3. Values should be drawn from the <a href="https://www.w3.org/2021/a11y-discov-vocab/latest/#accessibilityHazard-vocabulary">approved vocabulary</a>.
CreativeWork	accessibility_summary	Text	accessibility-summary	accessibilitySummary								A human-readable summary of specific accessibility features or deficiencies, consistent with the other accessibility metadata but expressing subtleties such as "short descriptions are present but long descriptions will be needed for non-visual users" or "short descriptions are present and no long descriptions are needed."
Accommodation	accommodation_category	Text	accommodation-category	accommodationCategory	pending:	category						Category of an <a class="localLink" href="/Accommodation">Accommodation</a>, following real estate conventions, e.g. RESO (see <a href="https://ddwiki.reso.org/display/DDW17/PropertySubType+Field">PropertySubType</a>, and <a href="https://ddwiki.reso.org/display/DDW17/PropertyType+Field">PropertyType</a> fields  for suggested values).
Invoice	account_id	Text	account-id	accountId		identifier						The identifier for the account the payment will be applied to.
BusOrCoach, Car	acriss_code	Text	acriss-code	acrissCode	https://auto.schema.org							The ACRISS Car Classification Code is a code used by many car rental companies, for classifying vehicles. ACRISS stands for Association of Car Rental Industry Systems and Standards.
DietarySupplement, Drug, DrugStrength, Substance	active_ingredient	Text	active-ingredient	activeIngredient								An active ingredient, typically chemical compounds and/or biologic substances.
Person	additional_name	Text	additional-name	additionalName		alternateName						An additional name for a Person, can be used for a middle name.
ExercisePlan	additional_variable	Text	additional-variable	additionalVariable								Any additional component of the exercise prescription that may need to be articulated to the patient. This may include the order of exercises, the number of repetitions of movement, quantitative distance, progressions over time, etc.
PostalAddress	address_locality	Text	address-locality	addressLocality								The locality in which the street address is, and which is in the region. For example, Mountain View.
DefinedRegion, PostalAddress	address_region	Text	address-region	addressRegion								The region in which the locality is, and which is in the country. For example, California or another appropriate first-level <a href="https://en.wikipedia.org/wiki/List_of_administrative_divisions_by_country">Administrative division</a>.
Drug	administration_route	Text	administration-route	administrationRoute								A route by which this drug may be administered, e.g. 'oral'.
Drug	alcohol_warning	Text	alcohol-warning	alcoholWarning								Any precaution, guidance, contraindication, etc. related to consumption of alcohol while taking this drug.
MedicalRiskScore	algorithm	Text	algorithm	algorithm								The algorithm or rules to follow to compute the score.
AlignmentObject	alignment_type	Text	alignment-type	alignmentType								A category of alignment between the learning resource and the framework node. Recommended values include: 'requires', 'textComplexity', 'readingLevel', and 'educationalSubject'.
Thing	alternate_name	Text	alternate-name	alternateName				additionalName				An alias for the item.
CreativeWork	alternative_headline	Text	alternative-headline	alternativeHeadline								A secondary title of the CreativeWork.
SoftwareApplication	application_suite	Text	application-suite	applicationSuite								The name of the application suite to which the application belongs (e.g. Excel belongs to Office).
Flight	arrival_gate	Text	arrival-gate	arrivalGate								Identifier of the flight's arrival gate.
TrainTrip	arrival_platform	Text	arrival-platform	arrivalPlatform								The platform where the train arrives.
Flight	arrival_terminal	Text	arrival-terminal	arrivalTerminal								Identifier of the flight's arrival terminal.
Article	article_body	Text	article-body	articleBody								The actual body of the article.
Article	article_section	Text	article-section	articleSection								Articles may belong to one or more 'sections' in a magazine or newspaper, such as Sports, Lifestyle, etc.
MedicalWebPage	aspect	Text	aspect	aspect							mainContentOfPage	An aspect of medical practice that is considered on the page, such as 'diagnosis', 'treatment', 'causes', 'prognosis', 'etiology', 'epidemiology', etc.
APIReference	assembly	Text	assembly	assembly							executableLibraryName	Library file name, e.g., mscorlib.dll, system.web.dll.
