domainIncludes	has_label_snail	rangeIncludes	label_snail	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
PeopleAudience	required_max_age	Integer	required_max_age	required-max-age	requiredMaxAge								Audiences defined by a person's maximum age.
PeopleAudience	required_min_age	Integer	required_min_age	required-min-age	requiredMinAge								Audiences defined by a person's minimum age.
ExerciseAction, TravelAction	distance_in_meters	Distance	distance	distance	distance								The distance travelled, e.g. exercising or travelling.
GeoCircle	geo_radius_in_meters	Distance, Number, Text	geo-radius	geo_radius	geoRadius								Indicates the approximate radius of a GeoCircle (metres unless indicated otherwise via Distance notation).
OfferShippingDetails, Product, VisualArtwork	depth_in_meters	Distance, QuantitativeValue	depth	depth	depth								The depth of the item.
MediaObject, OfferShippingDetails, Person, Product, VisualArtwork	height_in_meters	Distance, QuantitativeValue	height	height	height								The height of the item.
MediaObject, OfferShippingDetails, Product, VisualArtwork	width_in_meters	Distance, QuantitativeValue	width	width	width								The width of the item.
Flight	flight_distance_in_meters	Distance, Text	flight-distance	flight_distance	flightDistance								The distance of the flight.
Drug, TherapeuticProcedure	dose_schedule	DoseSchedule	dose-schedule	dose_schedule	doseSchedule								A dosing schedule for the drug for a given population, either observed, recommended, or maximum dose based on the type used.
NutritionInformation	carbohydrate_in_gram	Mass	carbohydrate-content	carbohydrate_in_gram	carbohydrateContent								The number of grams of carbohydrates.
NutritionInformation	cholesterol_in_milliGram	Mass	cholesterol-content	cholesterol_in_gram	cholesterolContent								The number of milligrams of cholesterol.
NutritionInformation	fat_in_gram	Mass	fat-content	fat_in_gram	fatContent								The number of grams of fat.
NutritionInformation	fiber_in_gram	Mass	fiber-content	fiber_in_gram	fiberContent								The number of grams of fiber.
NutritionInformation	protein_in_gram	Mass	protein-content	protein_in_gram	proteinContent								The number of grams of protein.
NutritionInformation	saturated_fat_in_gram	Mass	saturated-fat-content	saturated_fat_in_gram	saturatedFatContent								The number of grams of saturated fat.
NutritionInformation	sodium_in_milliGram	Mass	sodium-content	sodium_in_gram	sodiumContent								The number of milligrams of sodium.
NutritionInformation	sugar_in_gram	Mass	sugar-content	sugar_in_gram	sugarContent								The number of grams of sugar.
NutritionInformation	trans_fat_in_gram	Mass	trans-fat-content	trans_fat_in_gram	transFatContent								The number of grams of trans fat.
NutritionInformation	unsaturated_fat_in_gram	Mass	unsaturated-fat-content	unsaturated_fat_in_gram	unsaturatedFatContent								The number of grams of unsaturated fat.
