label-dash	rangeIncludes	domainIncludes	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
ownership-funding-info	"AboutPage, CreativeWork, Text, URL"	"NewsMediaOrganization, Organization"	ownership_funding_info	ownershipFundingInfo	pending:	publishingPrinciples						"For an <a class=""localLink"" href=""/Organization"">Organization</a> (often but not necessarily a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>), a description of organizational ownership structure; funding and grants. In a news/media setting, this is with particular reference to editorial independence.   Note that the <a class=""localLink"" href=""/funder"">funder</a> is also available and can be used to make basic funder information machine-readable."
is-plan-for-apartment	Accommodation	FloorPlan	is_plan_for_apartment	isPlanForApartment	pending:							Indicates some accommodation that this floor plan describes.
interaction-type	Action	InteractionCounter	interaction_type	interactionType								"The Action representing the type of interaction. For up votes, +1s, etc. use <a class=""localLink"" href=""/LikeAction"">LikeAction</a>. For down votes use <a class=""localLink"" href=""/DislikeAction"">DislikeAction</a>. Otherwise, use the most specific Action."
potential-action	Action	Thing	potential_action	potentialAction								"Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role."
action-accessibility-requirement	ActionAccessSpecification	ConsumeAction	action_accessibility_requirement	actionAccessibilityRequirement								"A set of requirements that must be fulfilled in order to perform an Action. If more than one value is specified, fulfilling one set of requirements will allow the Action to be performed."
action-status	ActionStatusType	Action	action_status	actionStatus								Indicates the current disposition of the Action.
applicable-location	AdministrativeArea	"DrugCost, DrugLegalStatus"	applicable_location	applicableLocation								The location in which the status applies.
applicant-location-requirements	AdministrativeArea	JobPosting	applicant_location_requirements	applicantLocationRequirements	pending:							The location(s) applicants can apply from. This is usually used for telecommuting jobs where the applicant does not need to be in a physical office. Note: This should not be used for citizenship or work visa requirements.
available-in	AdministrativeArea	DrugStrength	available_in	availableIn								The location in which the strength is available.
geographic-area	AdministrativeArea	Audience	geographic_area	geographicArea								The geographic area associated with the audience.
occupation-location	AdministrativeArea	Occupation	occupation_location	occupationLocation								The region/country for which this occupational description is appropriate. Note that educational requirements and qualifications can vary between jurisdictions.
study-location	AdministrativeArea	MedicalStudy	study_location	studyLocation								The location in which the study is taking/took place.
valid-in	AdministrativeArea	"EducationalOccupationalCredential, Permit"	valid_in	validIn								The geographic area where a permit or similar thing is valid.
service-area	"AdministrativeArea, GeoShape, Place"	"ContactPoint, Organization, Service"	service_area	serviceArea						area	areaServed	The geographic area where the service is provided.
area-served	"AdministrativeArea, GeoShape, Place, Text"	"ContactPoint, DeliveryChargeSpecification, Demand, Offer, Organization, Service"	area_served	areaServed				"availableAtOrFrom, eligibleRegion"		serviceArea		The geographic area where a service or offered item is provided.
jurisdiction	"AdministrativeArea, Text"	"GovernmentService, Legislation"	jurisdiction	jurisdiction	pending:			legislationJurisdiction				"Indicates a legal jurisdiction, e.g. of some legislation, or where some government service is based."
legislation-jurisdiction	"AdministrativeArea, Text"	Legislation	legislation_jurisdiction	legislationJurisdiction	pending:	"jurisdiction, spatialCoverage"	http://data.europa.eu/eli/ontology#jurisdiction					The jurisdiction from which the legislation originates.
has-adult-consideration	AdultOrientedEnumeration	"Offer, Product"	has_adult_consideration	hasAdultConsideration	pending:							Used to tag an item to be intended or suitable for consumption or use by adults only.
item-offered	"AggregateOffer, CreativeWork, Event, MenuItem, Product, Service, Trip"	"Demand, Offer"	item_offered	itemOffered					offers			"An item being offered (or demanded). The transactional nature of the offer or demand is documented using <a class=""localLink"" href=""/businessFunction"">businessFunction</a>, e.g. sell, lease etc. While several common expected types are listed explicitly in this definition, others can be used. Using a second type, such as Product or a subtype of Product, can clarify the nature of the offer."
aggregate-rating	AggregateRating	"Brand, CreativeWork, Event, Offer, Organization, Place, Product, Service"	aggregate_rating	aggregateRating								"The overall rating, based on a collection of reviews or ratings, of the item."
arrival-airport	Airport	Flight	arrival_airport	arrivalAirport								The airport where the flight terminates.
departure-airport	Airport	Flight	departure_airport	departureAirport								The airport where the flight originates.
educational-alignment	AlignmentObject	"CreativeWork, LearningResource"	educational_alignment	educationalAlignment								"An alignment to an established educational framework.<br/><br/>

This property should not be used where the nature of the alignment can be described using a simple property, for example to express that a resource <a class=""localLink"" href=""/teaches"">teaches</a> or <a class=""localLink"" href=""/assesses"">assesses</a> a competency."
program-prerequisites	"AlignmentObject, Course, EducationalOccupationalCredential, Text"	EducationalOccupationalProgram	program_prerequisites	programPrerequisites	pending:							Prerequisites for enrolling in the program.
